state_name,state,region,population
Alabama,AL,East South Central,4779736
Alaska,AK,Pacific,710231
Arizona,AZ,Mountain,6392017
Arkansas,AR,West South Central,2915918
California,CA,Pacific,37253956
Colorado,CO,Mountain,5029196
Connecticut,CT,New England,3574097
Delaware,DE,South Atlantic,897934
Florida,FL,South Atlantic,18801310
Georgia,GA,South Atlantic,9687653
Hawaii,HI,Pacific,1360301
Idaho,ID,Mountain,1567582
Illinois,IL,East North Central,12830632
Indiana,IN,East North Central,6483802
Iowa,IA,West North Central,3046355
Kansas,KS,West North Central,2853118
Kentucky,KY,East South Central,4339367
Louisiana,LA,West South Central,4533372
Maine,ME,New England,1328361
Maryland,MD,South Atlantic,5773552
Massachusetts,MA,New England,6547629
Michigan,MI,East North Central,9883640
Minnesota,MN,East North Central,5303925
Mississippi,MS,East South Central,2967297
Missouri,MO,West North Central,5988927
Montana,MT,Mountain,989415
Nebraska,NE,West North Central,1826341
Nevada,NV,Mountain,2700551
New Hampshire,NH,New England,1316470
New Jersey,NJ,Mid-Atlantic,8791894
New Mexico,NM,Mountain,2059179
New York,NY,Mid-Atlantic,19378102
North Carolina,NC,South Atlantic,9535483
North Dakota,ND,West North Central,672591
Ohio,OH,East North Central,11536504
Oklahoma,OK,West South Central,3751351
Oregon,OR,Pacific,3831074
Pennsylvania,PA,Mid-Atlantic,12702379
Rhode Island,RI,New England,1052567
South Carolina,SC,South Atlantic,4625364
South Dakota,SD,West North Central,814180
Tennessee,TN,East South Central,6346105
Texas,TX,West South Central,25145561
Utah,UT,Mountain,2763885
Vermont,VT,New England,625741
Virginia,VA,South Atlantic,8001024
Washington,WA,Pacific,6724540
West Virginia,WV,South Atlantic,1852994
Wisconsin,WI,East North Central,5686986
Wyoming,WY,Mountain,563626
